serial_number	Germline
1	1-2-3-2
2	2-1-3-1
3	2-1-9-2
4	2-2-6-1
5	2-2-8-4
6	3-1-2-1
7	3-1-2-4
8	3-1-2-6
9	3-1-4-1
10	3-2-1-1
11	3-2-4-1
12	3-2-5-2
13	3-3-3-1
14	3-3-3-2
15	3-3-3-3
16	3-3-3-4
17	1-1-2-2
18	1-2-3-1
19	1-2-3-2
20	1-3-2-2
21	1-3-1-1
22	1-3-1-2
23	1-3-2-1
24	1-3-4-1
25	1-3-5-1
26	1-3-5-1b
27	2-1-4-2
28	2-2-1-1
29	2-2-1-2
30	2-2-4-1b
31	1-2-1-1
32	1-2-1-3
33	1-2-1-4
34	1-2-3-3
35	1-2-3-4
36	1-2-3-2
37	1-3-1-4
38	2-1-3-1
39	2-2-8-3
40	1-1-3-1
41	1-1-2-3
42	1-1-2-6
43	1-3-2-2
44	3-1-2-6
45	3-3-3-1
46	3-3-3-2
